Date,Miles today,Gallons today,Gas $ today,Notes
2026-05-29,,,,Ruby arrives in Hamilton — no driving
2026-05-30,,,,Hamilton → Sandusky OH
2026-05-31,,,,Sandusky → Madison WI
2026-06-01,,,,Madison rest + prep day
2026-06-02,,,,Madison → Chamberlain SD
2026-06-03,,,,Chamberlain → Badlands → Mt Rushmore → Lusk WY
2026-06-04,,,,Lusk → Denver airport → Moab UT
2026-06-05,,,,Arches NP day
2026-06-06,,,,Moab → Bryce Canyon
2026-06-07,,,,Bryce Canyon full day
2026-06-08,,,,Bryce → Zion (Orderville Airbnb)
2026-06-09,,,,Zion full day
2026-06-10,,,,Zion → Las Vegas airport → Sequoia / Kernville
2026-06-11,,,,Sequoia → Yosemite
2026-06-12,,,,Yosemite full day
2026-06-13,,,,Yosemite → Lake Tahoe
2026-06-14,,,,Lake Tahoe → San Francisco
2026-06-15,,,,San Francisco full day
2026-06-16,,,,Ruby flies home from SFO
